key	selectors	sites	note
request-body-description	requestBody.description	src/ir.rs::build_endpoint[body_description_empty: op]	
request-body-content	requestBody.content	src/ir.rs::selected_json_request_media,src/ir.rs::request_body_ignored,src/openapi.rs::request_body_schemas	
request-body-required	requestBody.required	src/ir.rs::resolve_request_body[if let Some\(member\) = simple_nullable_member\(schema\)],src/ir.rs::resolve_request_body[if is_unknown\(schema\) \{]	
components-request-bodies	components.requestBodies	src/openapi.rs::resolve_request_body,src/openapi.rs::normalize_request_bodies	
media-type-schema	mediaType.schema	src/openapi.rs::media_schemas,src/ir.rs::success_response_schema,src/ir.rs::response_schema	
media-type-example	mediaType.example	src/ir.rs::media_example,src/ir.rs::build_endpoint[body_media_has_example: ]	
media-type-examples	mediaType.examples	src/ir.rs::media_example,src/ir.rs::reference_body_example,src/ir.rs::component_example_value,src/ir.rs::build_endpoint[body_media_has_example: ]	
encoding-object	mediaType.encoding	src/ir.rs::hoist_form_object,src/emit.rs::append_request_call_args[if let Some\(content_type\) = &f\.form_content_type]	
media-type-concrete	requestBody.content,response.content	src/ir.rs::has_dispatchable_media	
media-type-key-parameters	fixture=openbanking.org.uk-account-info-openapi,fixture=sftpgo,fixture=vtex-pricing	src/ir.rs::is_json_like_media_type,src/ir.rs::is_text_response_media	
media-type-suffix-json	fixture=anchore.io,fixture=apicurio.local-registry,fixture=box.com,fixture=github.com,fixture=redocly.com-museum,fixture=free5gc-pdu-session,fixture=free5gc-namf-communication,fixture=openepcis-dpp-ready	src/ir.rs::is_json_like_media_type,src/ir.rs::selected_json_request_media,src/ir.rs::success_response_schema	
media-type-suffix-xml	fixture=atlassian.com-jira,fixture=color.pizza,fixture=traccar.org	none	
media-type-wildcard	fixture=6-dot-authentiqio.appspot.com,fixture=apache.org-qakka,fixture=apicurio.local-registry,fixture=apideck.com-file-storage,fixture=apideck.com-proxy,fixture=atlassian.com-jira,fixture=bintable.com,fixture=bungie.net,fixture=openfigi.com	src/ir.rs::RequestBody::is_wildcard_media,src/ir.rs::has_wildcard_binary_response,src/ir.rs::selected_json_request_media,src/ir.rs::success_response_schema,src/ir.rs::resolve_request_body[let binary_media = \x7c]	
media-type-range	fixture=sftpgo,fixture=torrentarr,fixture=audiobookshelf,fixture=api-openverse-org,fixture=komga	src/ir.rs::resolve_request_body[\.find\(\x7c\(media_type\x2c media\)\x7c \{],src/ir.rs::is_binary_response,src/ir.rs::has_binary_schema_response	
media-type-multipart	fixture=form-bodies,fixture=anchore.io,fixture=appwrite.io-client,fixture=appwrite.io-server,fixture=asana.com,fixture=atlassian.com-jira,fixture=box.com,fixture=discourse.local,fixture=microcks.local,fixture=appng-rest-api,fixture=free5gc-pdu-session,fixture=letta,fixture=free5gc-namf-communication,fixture=livepeer-ai-runner	src/ir.rs::resolve_request_body[if let Some\(media\) = rb\.content\.get\(\"multipart/related\"\)],src/ir.rs::resolve_request_body[if let Some\(media\) = rb\.content\.get\(media_type\)],src/ir.rs::form_body_source_names	
media-type-form-urlencoded	fixture=bracketed-property-names,fixture=form-bodies,fixture=anchore.io,fixture=box.com,fixture=conjur.local,fixture=traccar.org,fixture=twilio.com-twilio_voice_v1,fixture=twilio.com-twilio_messaging_v1	src/ir.rs::resolve_request_body[if let Some\(media\) = rb\.content\.get\(media_type\)],src/ir.rs::urlencoded_body_source_names,src/ir.rs::form_body_source_names	
media-type-octet-stream	fixture=exhaustive,fixture=apache.org-qakka,fixture=box.com,fixture=conjur.local,fixture=github.com	src/ir.rs::resolve_request_body[if rb\.content\.contains_key\(\"application/octet-stream\"\)],src/ir.rs::is_binary_response	
