key	kind	subject	result	file
annotated-ref-shape	document	APIs/amazonaws.com/AWSMigrationHub/2017-05-31/openapi.yaml	census 93	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/accessanalyzer/2019-11-01/openapi.yaml	census 272	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/account/2021-02-01/openapi.yaml	census 60	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/acm-pca/2017-08-22/openapi.yaml	census 178	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/acm/2015-12-08/openapi.yaml	census 119	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/alexaforbusiness/2017-11-09/openapi.yaml	census 601	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/amp/2020-08-01/openapi.yaml	census 85	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/amplify/2017-07-25/openapi.yaml	census 276	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/amplifybackend/2020-08-11/openapi.yaml	census 349	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/amplifyuibuilder/2021-08-11/openapi.yaml	census 412	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/apigateway/2015-07-09/openapi.yaml	census 442	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/apigatewaymanagementapi/2018-11-29/openapi.yaml	census 6	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/apigatewayv2/2018-11-29/openapi.yaml	census 750	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appconfig/2019-10-09/openapi.yaml	census 194	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appconfigdata/2021-11-11/openapi.yaml	census 6	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appfabric/2023-05-19/openapi.yaml	census 141	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appflow/2020-08-23/openapi.yaml	census 643	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appintegrations/2020-07-29/openapi.yaml	census 86	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/application-autoscaling/2016-02-06/openapi.yaml	census 165	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/application-insights/2018-11-25/openapi.yaml	census 268	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/applicationcostprofiler/2020-09-10/openapi.yaml	census 42	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appmesh/2018-10-01/openapi.yaml	census 114	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appmesh/2019-01-25/openapi.yaml	census 506	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/apprunner/2020-05-15/openapi.yaml	census 283	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appstream/2016-12-01/openapi.yaml	census 572	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/appsync/2017-07-25/openapi.yaml	census 430	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/arc-zonal-shift/2022-10-30/openapi.yaml	census 38	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/athena/2017-05-18/openapi.yaml	census 488	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/auditmanager/2017-07-25/openapi.yaml	census 457	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/autoscaling-plans/2018-01-06/openapi.yaml	census 94	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/autoscaling/2011-01-01/openapi.yaml	census 679	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/backup-gateway/2021-01-01/openapi.yaml	census 146	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/backup/2018-11-15/openapi.yaml	census 544	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/backupstorage/2018-04-10/openapi.yaml	census 30	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/batch/2016-08-10/openapi.yaml	census 554	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/billingconductor/2021-07-30/openapi.yaml	census 335	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/braket/2019-09-01/openapi.yaml	census 146	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/budgets/2016-10-20/openapi.yaml	census 147	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/ce/2017-10-25/openapi.yaml	census 627	enumeration.tsv.gz
annotated-ref-shape	document	APIs/amazonaws.com/chime-sdk-identity/2021-04-20/openapi.yaml	census 151	enumeration.tsv.gz
