key	kind	subject	result	file
*	wait	github-code-search guard log index-pacing-waits.jsonl	19 entries	index-pacing-waits.jsonl
*	wait	github-code-search guard log rate-limit-calls.jsonl	2025 entries	rate-limit-calls.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/apache.org/airflow/2.5.3/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/apideck.com/file-storage/10.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/cpy.re/peertube/5.1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/doqs.dev/1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/elevenlabs.io/1.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/graphhopper.com/1.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 4	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/intellifi.nl/2.23.4+0.gb463b49.dirty/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/ndhm.gov.in/ndhm-hiu/0.5/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 6	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/nexmo.com/reports/2.2.2/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 1	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/soundcloud.com/1.0.0/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/threatjammer.com/1.2.27/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	APIs-guru/openapi-directory:APIs/twitter.com/current/2.62/openapi.yaml@f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	census 0	candidates.jsonl
annotated-ref-shape	document	Azure/ARO-HCP:tooling/kiota/openapi.yaml@8f004397b8f71b9c3cca79a11c38b5a079d7dbfc	census 0	candidates.jsonl
annotated-ref-shape	document	Azure/ARO-RP:hack/graphsdk/openapi.yaml@6f2967e0352f87510aaada8c3eb0b0fcb5f0c3bf	census 0	candidates.jsonl
annotated-ref-shape	document	Azure/azure-rest-api-specs:specification/ai/data-plane/ModelInference/openapi/2024-05-01-preview/openapi.yaml@cfb70b985bacf991d059d71406dd4ef492dd301c	census 0	candidates.jsonl
annotated-ref-shape	document	Azure/bicep-extensibility:docs/contract/v2/openapi.yaml@e0bfd4364156a2d1e672920ffd88083ce4d3e5df	census 0	candidates.jsonl
annotated-ref-shape	document	Blueforcer/awtrix-ng:docs/api/openapi.yaml@6d6cc64aa6739724d8501199de70c6692cbb2c6c	acquisition-failure: parse-failure	candidates.jsonl
annotated-ref-shape	document	Christ9038/Ydisks-Xianyu-Helper:api/openapi.yaml@42a476fa8f325791509fbadae819984ae12fccfa	census 0	candidates.jsonl
annotated-ref-shape	document	CumulusNetworks/docs:static/nmx-api-8511000/openapi.yaml@240928356c70ad68c7b62163fce525e0a6881ccf	census 0	candidates.jsonl
annotated-ref-shape	document	CumulusNetworks/docs:static/nmx-api-8511100/openapi.yaml@240928356c70ad68c7b62163fce525e0a6881ccf	census 0	candidates.jsonl
annotated-ref-shape	document	DewyKB/dewy:openapi.yaml@78a581a56a91cee98edb97db50b76a88a389a65b	census 0	candidates.jsonl
annotated-ref-shape	document	Difegue/LANraragi:tools/openapi.yaml@db3106900d90e07f5723da9ed933cc0399a5670d	census 0	candidates.jsonl
annotated-ref-shape	document	Flagsmith/flagsmith:sdk/openapi.yaml@ea5ad826e85b240947ff6eeea7630650812bb1fe	census 0	candidates.jsonl
annotated-ref-shape	document	Kong/developer.konghq.com:api-specs/konnect/ai-builder/v1/openapi.yaml@158a0474ba8461a6a789585efea86e6b69dc03d3	census 3	candidates.jsonl
annotated-ref-shape	document	MagaluCloud/magalu:specs/globaldb.openapi.yaml@c467ba8e695fa21e427aa35a12f5ba137bb0dbca	census 0	candidates.jsonl
annotated-ref-shape	document	Morriz/itsUP:openapi.yaml@3225cee39811c659b9aade1db596f45203c09f13	census 0	candidates.jsonl
annotated-ref-shape	document	Open-EO/openeo-api:openapi.yaml@1881dae18b3c2c417f1305774cf295c81d60d400	acquisition-failure: parse-failure	candidates.jsonl
annotated-ref-shape	document	OpenAPITools/openapi-generator:samples/client/petstore/csharp/generichost/latest/UseDateTimeOffset/api/openapi.yaml@f81c416b76bcf9baabfb0361a7e94eb3881a2ca4	census 0	candidates.jsonl
annotated-ref-shape	document	OpenAPITools/openapi-generator:samples/client/petstore/csharp/generichost/net10/FormModels/api/openapi.yaml@f81c416b76bcf9baabfb0361a7e94eb3881a2ca4	census 0	candidates.jsonl
annotated-ref-shape	document	OpenAPITools/openapi-generator:samples/client/petstore/csharp/generichost/net10/NullReferenceTypes/api/openapi.yaml@f81c416b76bcf9baabfb0361a7e94eb3881a2ca4	census 0	candidates.jsonl
annotated-ref-shape	document	OpenAPITools/openapi-generator:samples/client/petstore/csharp/generichost/net10/SourceGeneration/api/openapi.yaml@f81c416b76bcf9baabfb0361a7e94eb3881a2ca4	census 0	candidates.jsonl
annotated-ref-shape	document	OpenAPITools/openapi-generator:samples/client/petstore/csharp/generichost/net9/NullReferenceTypes/api/openapi.yaml@f81c416b76bcf9baabfb0361a7e94eb3881a2ca4	census 0	candidates.jsonl
annotated-ref-shape	document	OpenAPITools/openapi-generator:samples/client/petstore/csharp/generichost/net9/SourceGeneration/api/openapi.yaml@f81c416b76bcf9baabfb0361a7e94eb3881a2ca4	census 0	candidates.jsonl
