key	kind	subject	result	file
*	wait	sourcegraph guard log rate-limit-calls.jsonl	37 entries	rate-limit-calls.jsonl
*	wait	sourcegraph guard log raw-github-calls.jsonl	2817 entries	raw-github-calls.jsonl
*	wait	sourcegraph guard log raw-github-waits.jsonl	2449 entries	raw-github-waits.jsonl
annotated-ref-shape	document	github.com/AntelopeIO/leap:plugins/chain_api_plugin/chain.swagger.yaml@92b6fec5e949660bae78e90ebf555fe71ab06940	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/AntelopeIO/leap:plugins/producer_api_plugin/producer.swagger.yaml@92b6fec5e949660bae78e90ebf555fe71ab06940	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Azure-Samples/AI-Gateway:labs/realtime-mcp-agents/src/spotify/apim-api/openapi.json@1679e3137d2fe7592d2a668d77ff71550d35b69e	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Azure-Samples/aoai-realtime-audio-sdk:realtime-openapi3.yml@aa554aae35477c4dffe9916c56cfff24ea6e9382	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Azure-Samples/digitization-of-piping-and-instrument-diagrams:docs/webapi-swagger.yaml@c51302e3ec34147c676ef6eedbdd7551ea908b05	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Azure/Security-Copilot:Plugins/Published Plugins/Netskope-Copilot-Plugin/CoPilotOpenAPISpec.yaml@79ee8ea8a3ce7f7ebd906fe61d7be03af668614a	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/CaoMeiYouRen/rss-impact-server:test/openapi.json@10bcd746d6fe525ff0de59911d899b33571a8027	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Carapacik/swagger_parser:swagger_parser/test/schemas/r__petstore.yaml@1fec2df2fd073ff5bb93a703b856cdfad25b129c	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/CenterEdge/Yardarm:src/main/Core/Yardarm.CommandLine/swagger.json@abe4d9b1bad18e494e70aca914fb7e182929e8fe	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Chocobozzz/PeerTube:support/doc/api/openapi.yaml@faa76bad2c1969a088ef1df38dc666dfe7259b5c	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/DewyKB/dewy:openapi.yaml@78a581a56a91cee98edb97db50b76a88a389a65b	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/Difegue/LANraragi:tools/openapi.yaml@db3106900d90e07f5723da9ed933cc0399a5670d	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/GoogleCloudPlatform/container-engine-accelerators:vendor/github.com/google/gnostic/openapiv3/openapi-3.0.json@64f0eeb0dc1d980eaef8939584f832bb10e3d482	census 0	candidates.jsonl
annotated-ref-shape	document	github.com/GoogleCloudPlatform/container-engine-accelerators:vendor/github.com/google/gnostic/openapiv3/openapi-3.1.json@64f0eeb0dc1d980eaef8939584f832bb10e3d482	census 0	candidates.jsonl
