key	kind	subject	result	file
annotated-ref-shape	candidate	box--box-openapi/openapi.json	census 119	probe.jsonl
annotated-ref-shape	candidate	box--box-openapi/openapi/openapi.json	census 119	probe.jsonl
annotated-ref-shape	candidate	intercom--Intercom-OpenAPI/descriptions/0/api.intercom.io.yaml	census 2	probe.jsonl
annotated-ref-shape	document	asana--openapi/defs/asana_oas.yaml	census 18	enumeration.tsv.gz
annotated-ref-shape	document	box--box-openapi/openapi.json	census 119	enumeration.tsv.gz
annotated-ref-shape	document	box--box-openapi/openapi/openapi-v2025.0.json	census 100	enumeration.tsv.gz
annotated-ref-shape	document	box--box-openapi/openapi/openapi-v2026.0.json	census 2	enumeration.tsv.gz
annotated-ref-shape	document	box--box-openapi/openapi/openapi.json	census 119	enumeration.tsv.gz
annotated-ref-shape	document	cloudflare--api-schemas/openapi.json	census 42	enumeration.tsv.gz
annotated-ref-shape	document	cloudflare--api-schemas/openapi.yaml	census 42	enumeration.tsv.gz
annotated-ref-shape	document	intercom--Intercom-OpenAPI/descriptions/0/api.intercom.io.yaml	census 2	enumeration.tsv.gz
annotated-ref-shape	document	openai--openai-openapi/openapi.json	census 8	enumeration.tsv.gz
annotated-ref-shape	document	openai--openai-openapi/openapi.yaml	census 8	enumeration.tsv.gz
annotated-ref-shape	document	twilio--twilio-oai/spec/json/twilio_intelligence_v3.json	census 2	enumeration.tsv.gz
annotated-ref-shape	document	twilio--twilio-oai/spec/yaml/twilio_intelligence_v3.yaml	census 2	enumeration.tsv.gz
annotated-ref-shape	screen	box--box-openapi/openapi.json fern	failed: Fern CLI 5.67.1 / python-sdk 5.20.0 check reports 153 errors, e.g. Example is missing required property 'response.body.entries.0.item.id'	screens.jsonl
annotated-ref-shape	screen	box--box-openapi/openapi.json licence	passed	screens.jsonl
annotated-ref-shape	screen	box--box-openapi/openapi.json ref	passed	screens.jsonl
annotated-ref-shape	screen	box--box-openapi/openapi/openapi.json fern	failed: Fern CLI 5.67.1 / python-sdk 5.20.0 check reports 153 errors, e.g. Example is missing required property 'response.body.entries.0.item.id'	screens.jsonl
annotated-ref-shape	screen	box--box-openapi/openapi/openapi.json licence	passed	screens.jsonl
annotated-ref-shape	screen	box--box-openapi/openapi/openapi.json ref	passed	screens.jsonl
annotated-ref-shape	screen	intercom--Intercom-OpenAPI/descriptions/0/api.intercom.io.yaml fern	failed: Fern CLI 5.67.1 / python-sdk 5.20.0 check reports 409 errors, e.g. Example is missing required property 'response.body.errors'	screens.jsonl
annotated-ref-shape	screen	intercom--Intercom-OpenAPI/descriptions/0/api.intercom.io.yaml licence	passed	screens.jsonl
annotated-ref-shape	screen	intercom--Intercom-OpenAPI/descriptions/0/api.intercom.io.yaml ref	passed	screens.jsonl
