source	document	artifact	sha256	keys	immutable_ref	licence	licence_screen	publisher_ref_screen	fern_screen	disposition	notes
apis.guru-tree	APIs/asana.com/1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/asana.com/1.0/openapi.yaml	4ce2c6eafa40cc6e3d40c1b2534cb95fd0d8511902a7cdb00a8c4847b239510d	annotated-ref-target-composed	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	Apache 2.0	admitted: info.license; aggregation grant recorded separately	blocked: aggregation pin does not establish publisher-byte provenance	rejected: historical pinned Fern CLI 5.67.1 check exit 1; wide-scrape evidence/4ce2c6eafa40cc6e3d40c1b2534cb95fd0d8511902a7cdb00a8c4847b239510d.json	witness-blocked	census output tree-census.jsonl.gz; source path asana.com/1.0/openapi.yaml
apis.guru-tree	APIs/authentiq.io/1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/authentiq.io/1.0/openapi.yaml	27df916f86d5777beb5917b745028f12a5b569aa673a17c8d1752252b510a6f3	oauth2-password	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path authentiq.io/1.0/openapi.yaml
apis.guru-tree	APIs/box.com/2.0.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/box.com/2.0.0/openapi.yaml	8fdc22ddf19d734dd3372a5545324ac43eae55e169651e22bb31b85f0623bc9e	annotated-ref-target-composed	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	Apache-2.0	admitted: info.license; aggregation grant recorded separately	blocked: aggregation pin does not establish publisher-byte provenance	rejected: historical pinned Fern CLI 5.67.1 check exit 1; wide-scrape evidence/8fdc22ddf19d734dd3372a5545324ac43eae55e169651e22bb31b85f0623bc9e.json	witness-blocked	census output tree-census.jsonl.gz; source path box.com/2.0.0/openapi.yaml
apis.guru-tree	APIs/britbox.co.uk/3.730.300-ref-1-39-0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/britbox.co.uk/3.730.300-ref-1-39-0/openapi.yaml	3b28a9e14de5c7ddafdc0292955fdafdce1e4711e0a89b9f5e11a751b63c1b62	oauth2-password	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path britbox.co.uk/3.730.300-ref-1-39-0/openapi.yaml
apis.guru-tree	APIs/codat.io/accounting/2.1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/codat.io/accounting/2.1.0/openapi.yaml	15751f97e6e3fbaf48e880fe0425686daa7adb299adf8f0897641a38b2008b80	ref-pointer-unnamed-segment	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path codat.io/accounting/2.1.0/openapi.yaml
apis.guru-tree	APIs/codat.io/assess/1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/codat.io/assess/1.0/openapi.yaml	86e433fe19b8cd4dc27f547c53cfa06377d8c7bee1b0ed38418fb8d983ba92e4	ref-pointer-unnamed-segment	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path codat.io/assess/1.0/openapi.yaml
apis.guru-tree	APIs/codat.io/bank-feeds/2.1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/codat.io/bank-feeds/2.1.0/openapi.yaml	276911e771aaba2a137ebe3b323afca84cdd855175929236cfd3de910f579e42	ref-pointer-unnamed-segment	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path codat.io/bank-feeds/2.1.0/openapi.yaml
apis.guru-tree	APIs/codat.io/banking/2.1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/codat.io/banking/2.1.0/openapi.yaml	ca9eeffc3d9e0d83a956be4e557837296de6695f00b3a09bf2eaa46bdbd4fbfd	ref-pointer-unnamed-segment	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path codat.io/banking/2.1.0/openapi.yaml
apis.guru-tree	APIs/codat.io/commerce/2.1.0/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/codat.io/commerce/2.1.0/openapi.yaml	ffe0c71205dec68c801399259a33cf809efa396defe320f8d472aebb0e384fac	ref-pointer-unnamed-segment	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path codat.io/commerce/2.1.0/openapi.yaml
apis.guru-tree	APIs/codat.io/sync-for-commerce/1.1/openapi.yaml	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/codat.io/sync-for-commerce/1.1/openapi.yaml	d6c4e8db7b3985d09a3a0fe8ccad730e0829442fb52d14143fd326c763394ff6	ref-pointer-unnamed-segment	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	none	blocked: no document grant and no publisher grant evidenced	blocked: aggregation pin does not establish publisher-byte provenance	not-run: no immutable publisher-byte proof	witness-blocked	census output tree-census.jsonl.gz; source path codat.io/sync-for-commerce/1.1/openapi.yaml
