source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	evidence
github-code-search	annotated-ref-target-oneof	0Hughman0/jupyter_cassini:openapi.yaml	blob:691642d12bf883967c095bd126345e06aff18c35	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:48
github-code-search	annotated-ref-target-oneof	0XFF-96/Resume-Matcher:lib/api-spec/openapi.yaml	blob:930c44a47c741f114010aa14bfbab192cc61be24	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:56
github-code-search	annotated-ref-target-oneof	0xMarcio/pd-orchestrator:openapi.yaml	blob:a1e977a9278946ce65dcacc224ff54718fd7d6ea	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:58
github-code-search	annotated-ref-target-oneof	0xfire-org/sailfish-sdk:docs/openapi.yaml	blob:d1b25aff573e866eeacb988c08f840d13b15802d	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:57
github-code-search	annotated-ref-target-oneof	1-arjayabalan-0/csv-data-visualizer-react:backend-api/openapi.yaml	blob:57c69e0d09fe9152112eb9bade79b3bfa5a4c7f6	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:50
github-code-search	annotated-ref-target-oneof	1papaya/osrm-openapi:osrm-openapi.yaml	blob:6cbf9d585ed116e679edfdf0f8cacb9b1ccc05af	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:52
github-code-search	annotated-ref-target-oneof	2025tm93177-rashi/notification-service:docs/openapi.yaml	blob:b64cf307fc5f42951dd60433d36153fda1805192	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:53
github-code-search	annotated-ref-target-oneof	223n/FursuitWeather:docs/openapi.yaml	blob:652c0abf9609cde3e12a7f938206f03e62ade0dc	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:57
github-code-search	annotated-ref-target-oneof	6529-Collections/6529seize-frontend:ops/contracts/wallet-auth-session-v2.openapi.yaml	blob:4ea22093cf7a25f2bb972e8ee5336087c32dceae	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:51
github-code-search	annotated-ref-target-oneof	9TEVE-O/9TEVE-O:specs/control-plane.openapi.yaml	blob:3db19fe836e74f559a28d4a64d64e7daa0a75560	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:58
github-code-search	annotated-ref-target-oneof	APIs-guru/openapi-directory:APIs/1password.com/events/1.2.0/openapi.yaml	blob:b089b94bdb98b9640ad1ff5ce7f2bb1aa5c64621	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:52
