query	total_count	returned	repository	path	triage
"$ref" "./paths/" filename:openapi.yml	104	100	18F/identity-idp	docs/attempts-api/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	aaronchen2k/deeptest	xdoc/openapi/openapi3/recursiveRef/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	SlideRuleEarth/sliderule	apps/ilb/openapi/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	spider-hand/GeoGuessLite	server/openapi/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	sokusekiya/sokuseki	api_schema/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	Yuki-TU/point-app-backend	docs/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	yoshinorin/qualtet	docs/rest-api/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	spider-hand/tokyo-land-price-rag	server/openapi/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	tbe-team/raybot	api/openapi/openapi.yml	registered Raybot witness
"$ref" "./paths/" filename:openapi.yml	104	100	ZoneMix/actual-budget-rest-api	src/docs/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	adr1enbe4udou1n/aspnetcore-realworld-example-app	specs/api/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	luizs-shopper/architecture-study	docs/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	funa1g/multi-file-oas-example	swagger/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	ARCircle/Kojirer	packages/spec/openapi/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	ikepu-tp/unifestill	docs/api/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	Vadim-Khristenko/TheWall	openapi/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	iLeoon/realtime-gateway	api/openapi.yml	not screened after Raybot byte match
"$ref" "./paths/" filename:openapi.yml	104	100	geo1796/vdm-draft	openapi/openapi.yml	not screened after Raybot byte match
