source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	evidence
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/A2APaymentsService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	0dbf3a59d37a21aa6162f6648825ad544e37125a9ef9fd612612a0c788766d4c	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:1
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/AccountService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5896dea74c98f5f11193d0be928c142c76fdbc958c70cd8024c760c772547b46	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:2
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/AccountService-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	756a7db61b4b8ea343881039079ed20a563f417ed9e85b908ac7efe7ac94fa20	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:3
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/AccountService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	06cbe90ffec2c819d404de1a4ec89f6f0eb9e95b9110e230afc01f87c1cf8e23	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:4
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/AccountService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8de73063832f9869170c915ca39220cb876e4f185f23dd22e9fc42ee3efd9e3e	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:5
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalanceControlService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a66a4a1b49c3d0d4100db0962b732ec8e2c9c7ceae3ede05c2b56bdffc1dfa1e	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:6
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalanceControlService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	31a36a1390178be36c1a0832e18be60ffb17c81de999f8f955e14af4667b8474	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:7
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformAccountingNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2a1e3429d834a0295d9fa9070d17cd187632b99e263e5c7be892b329b7257534	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:8
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformAccountingNotification-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	20e0d96b1e922c6ce166832d501a86f20bea933a57313393ef942a6973c824fe	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:9
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformAcsNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	6e09e9b5342ecc02e846cd9b6f40681538ce733fca61f46571bdc5241c8495ea	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:10
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformBalanceNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	ac5b3cab3212d4d4b5b526aa8fb8e383476ed4cf8cd6e927cf658f6ba86ce193	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:11
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformConfigurationNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	74e0766552b144d791e3bb8527c779d87adac6f1f79579f0a3ec2386411d5606	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:12
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformConfigurationNotification-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	01b61cd1cfdc7b53e562f8bc99a6996ef6a9c8752f4a79a3cbd6a39aeadf0c6c	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:13
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformDisputeNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5737b3fefde8e8f21fa9f556405804cc4fca9ce3d2530e447205aa521d0d61b3	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:14
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformGrantNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	e5c4bb577e369d370b264ad5e60340cba2397d791fbe08848043344361418693	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:15
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformManagedRiskNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f22956a277991d410d27d048659aa9cd885058608b224e623abd9eea3eb6607b	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:16
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformNegativeBalanceCompensationWarningNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	05402ffb243ef46393d33817fc988eff73516723f95df87b8cd069fd79bfc344	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:17
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformPaymentNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f977bd66d03ed337aa7bcf70afdf08bd50746bee29fd8e25ac10c5310362e0aa	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:18
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformRelayedAuthorisationNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	63b6fef623b14630985940739ce6a3572a91df20f297fd24ce0d4916ec09ac79	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:19
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformRelayedAuthorisationNotification-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7b9bccbdad558a5fb5405b691ee5789500093eb659d75f34064c9f38f84d27cc	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:20
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformRelayedAuthorisationNotification-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	42573720e06e77229f964e802a1476311760356e3f1b1314b2270e459c7bd492	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:21
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformReportNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8f2cf3225becbd36e0582639e49a577b3ef02d9ee93136f88abe4972d29213ca	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:22
github-publisher-trees	annotated-ref-target-closed-object	Adyen/adyen-openapi:json/BalancePlatformService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	c3d956efeb4f8cff512077378cfb1d9c9b38fd720aa694dec02cae327c365ec6	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	documents.jsonl:23
