repository	path	sha256	pinned_refs	sources	classification	declared_keys	licence	ref_screen	fern	disposition	evidence	screen_evidence
3liz/qjazz	qjazz-processes/doc/specs/openapi.yml	7c61767d479ce336e0d390cf53191e51b19bcdc5efb563430406b877b5508d21	acaa6a0ccd60e3f470e860a7e3ab79165c889a6c	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:1	not-applicable-no-declaration
564TeTe/ZhiShu	contracts/project-control-v1/openapi.yaml	3f3e4b1000f312a5c6746eda4eb13a354d83573542ec6891bbf63169a945cf9f	574f57dba762a427d1f30c6633fb88a3a84cf827	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:2	not-applicable-no-declaration
6bilguun9/vthacks	contracts/openapi.json	d6afd86a4f87ef11278985801569f1008239e2a853b90e1625a4a56a1fe9cd1e	2ae19ceec0c1544d8c00907b5d8dbc96da2038d9	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:3	not-applicable-no-declaration
7ossam26/tawsel-routing	contracts/openapi.yaml	9cc9b003151ea6667c2fe9676f46c1d949aab7c83ab7b15abe5d4cde6abeaa27	139a03cc22447990fc655e18ed381f1250123321	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:4	not-applicable-no-declaration
954593946/pressure-takeover-agent	contracts/openapi.yaml	4e49079ce1d59b33a0a88f4a1911acee839c930d296f21ee922f86907fbb2593	f6c39c9c0ea416a95de6d11a043e5c64bd676067	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:5	not-applicable-no-declaration
Adit-Jain-srm/NightmareNet	docs/api/openapi.json	f377b14af9510926613f46f0cf59c59125a9536c32be9974250dff2edd3bb8d2	412c70586186df0ef9e2c4b3d38292d5a56f49ed	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:6	not-applicable-no-declaration
Adnan146/BACKEND_Maxxi	docs/openapi.yml	d40da3c3c9096b371d34d9106c5399c8a388c1dd3c850e2f07124925a59fc043	bc44c49b70c55b20287c4073b06d3ae319331d85	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:7	not-applicable-no-declaration
Adnan146/Example_Backend	docs/openapi.yml	5fe879f8fdca434fda14821fcfafb48d0988dd2fa90ad5fc8f7f50f5b580854b	cf4f1f4d2e9b0bfebdeb98a5c98f168b8aa11086	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:8	not-applicable-no-declaration
Adnan146/backend-maxxi	docs/openapi.yml	d40da3c3c9096b371d34d9106c5399c8a388c1dd3c850e2f07124925a59fc043	3522b949d15e6ec6a89168b97d5bb737c7f5d5dc	github-code-search	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-code-search/candidates.jsonl:9	not-applicable-no-declaration
Adyen/adyen-openapi	json/A2APaymentsService-v1.json	0dbf3a59d37a21aa6162f6648825ad544e37125a9ef9fd612612a0c788766d4c	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	github-publisher-trees	does-not-declare	none	not-applicable-no-declaration	not-applicable-no-declaration	not-applicable-no-declaration	does-not-declare	witness-search-github-publisher-trees/documents.jsonl:1	not-applicable-no-declaration
