key	source	outcome	planned_queries	answered_queries	unissued_queries	issued_incomplete	unacquired_candidates	failed_candidates	unscreened_declarers	unwalked_trees	refusals	candidate_records
annotated-ref-target-closed-object	github-code-search	witness-found; search continuation owed	7	0	"[""\""properties:\"" \""allOf:\"" \""$ref:\"" \""additionalProperties:\"" \""additionalProperties: false\"" filename:openapi.yaml"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""additionalProperties:\"" \""additionalProperties: false\"" filename:openapi.yml"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""additionalProperties\\\""\"" \""false\"" filename:openapi.json"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""additionalProperties:\"" \""additionalProperties: false\"" filename:swagger.yaml"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""additionalProperties\\\""\"" \""false\"" filename:swagger.json"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""additionalProperties:\"" \""additionalProperties: false\"" path:openapi language:YAML"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""additionalProperties\\\""\"" \""false\"" path:openapi language:JSON""]"	[]	0	0	0	[]	[]	witness-search-github-code-search/records.tsv
annotated-ref-target-closed-object	github-publisher-trees	witness-found; search continuation owed	0	0	[]	[]	0	8	0	"[""github/rest-api-description@3cef12e8a02d612ad032473d4fb87266f2befeae: 319 documents outstanding"",""cnorlander/BuildRelay@e5f47309d1ca6fd28267de041e7ed2f61e477723: tree not listed"",""livepeer/ai-runner@50a742cee7c5789ef4a10f8117f30de3758366a9: tree not listed"",""kytos-ng/sdntrace_cp@269f4482ecd4125dc1c115e059dbce26b7269216: tree not listed"",""WithSecureOpenSource/gdpr-subject-rights-api@0d2775dbf1c0830671a9efd878f03ae1eaf97995: tree not listed"",""emergentmethods/flowdapt@e8f34d411564e6c0e6542fe67d0604c23de1cf91: tree not listed"",""OpenBanking-Brasil/specs-directory@37423cbc93982e05eac255db6226ed599a5baace: tree not listed"",""Alia5/steaminputdb.com@a2bd0c37fd3d22e6b9e153b49e9a6e7de5a00393: tree not listed"",""BreydenSummers/Waypoint@6eaa6f3ada167561c8d620d3f5148d4b22b65497: tree not listed"",""Lifetron710/atlas@4613aac6d5da72cce831c79157af9d495dfd25b8: tree not listed"",""PaulKov/dpone@7da0e0e6b873eedacb097ddbf1ddb2a961fa1ebb: tree not listed"",""VinhDat267/ATI_Project@cd26cea1a236e7f5a2514ce54cab73ed409f3c69: tree not listed"",""agenticdriver/agenticdriver@fb851f577341699decf232d1f556a73b545758bf: tree not listed"",""apostrophecms/apostrophe@14eab51cfa6114f9d98b6c6acb600564fc734587: tree not listed"",""apostrophecms/docs@125bb97075a87d8a1dffe5e765ebeb05af0c4c13: tree not listed"",""Chocobozzz/PeerTube@faa76bad2c1969a088ef1df38dc666dfe7259b5c: tree not listed"",""ChurchSuite/churchsuite-api@8464fbfc6290b6d84a71e728e802d693a7d8ffc2: tree not listed"",""Cosmian/kms@d3e5d8693ab7fee328a2185e53fda76efd09e8d9: tree not listed"",""Helicone/helicone@067d9290acb4f1fc9320e902fc67b4b399b50363: tree not listed"",""PaloAltoNetworks/pan.dev@4e989cdd4bbda669dc73c0d3f5db90bb4989bee3: tree not listed"",""auto-agent-protocol/auto-agent-protocol@5d31c27b11c36a018754f34830954d836a55afe5: tree not listed"",""truefoundry/trueforge@5adde289683b642203b06b39ca687e9d977ca7a5: tree not listed"",""kushin77/agent-orchestrator@9ae4441d1aca473286be9de0e69f87ab9b8daa25: tree not listed"",""magrathean-uk/teslatlas-protocol@e33a296d26fcef3936ccaf61ccc73b0f7469b7a2: tree not listed"",""magrathean-uk/teslatlas-sdk-typescript@beb79c922d130722c88ffd009300a00f20ea0a1b: tree not listed"",""roryqueue/cowards-game@1e368dd81d96dcb458ff78975a107c2d9b260ef9: tree not listed""]"	[]	witness-search-github-publisher-trees/records.tsv
annotated-ref-target-closed-object	sourcegraph	witness-found; search continuation owed	2	0	"[""file:(openapi|swagger).*\\.(yaml|yml)$ content:\""properties:\"" content:\""allOf:\"" content:\""$ref:\"" content:\""additionalProperties:\"" content:\""additionalProperties: false\"" count:all type:file"",""file:(openapi|swagger).*\\.json$ content:\""\\\""properties\\\""\"" content:\""\\\""allOf\\\""\"" content:\""\\\""$ref\\\""\"" content:\""\\\""additionalProperties\\\""\"" content:\""false\"" count:all type:file""]"	[]	0	7	0	[]	[]	witness-search-sourcegraph/records.tsv
annotated-ref-target-composed	github-code-search	witness-found; search continuation owed	7	0	"[""\""properties:\"" \""allOf:\"" \""$ref:\"" \""description:\"" filename:openapi.yaml"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""title:\"" filename:openapi.yml"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""title:\"" filename:swagger.yaml"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""description\\\""\"" filename:swagger.json"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""description:\"" path:openapi language:YAML"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""title\\\""\"" path:openapi language:JSON""]"	[]	0	0	0	[]	[]	witness-search-github-code-search/records.tsv
annotated-ref-target-composed	github-publisher-trees	witness-found; search continuation owed	0	0	[]	[]	0	8	0	"[""github/rest-api-description@3cef12e8a02d612ad032473d4fb87266f2befeae: 319 documents outstanding"",""cnorlander/BuildRelay@e5f47309d1ca6fd28267de041e7ed2f61e477723: tree not listed"",""livepeer/ai-runner@50a742cee7c5789ef4a10f8117f30de3758366a9: tree not listed"",""kytos-ng/sdntrace_cp@269f4482ecd4125dc1c115e059dbce26b7269216: tree not listed"",""WithSecureOpenSource/gdpr-subject-rights-api@0d2775dbf1c0830671a9efd878f03ae1eaf97995: tree not listed"",""emergentmethods/flowdapt@e8f34d411564e6c0e6542fe67d0604c23de1cf91: tree not listed"",""OpenBanking-Brasil/specs-directory@37423cbc93982e05eac255db6226ed599a5baace: tree not listed"",""Alia5/steaminputdb.com@a2bd0c37fd3d22e6b9e153b49e9a6e7de5a00393: tree not listed"",""BreydenSummers/Waypoint@6eaa6f3ada167561c8d620d3f5148d4b22b65497: tree not listed"",""Lifetron710/atlas@4613aac6d5da72cce831c79157af9d495dfd25b8: tree not listed"",""PaulKov/dpone@7da0e0e6b873eedacb097ddbf1ddb2a961fa1ebb: tree not listed"",""VinhDat267/ATI_Project@cd26cea1a236e7f5a2514ce54cab73ed409f3c69: tree not listed"",""agenticdriver/agenticdriver@fb851f577341699decf232d1f556a73b545758bf: tree not listed"",""apostrophecms/apostrophe@14eab51cfa6114f9d98b6c6acb600564fc734587: tree not listed"",""apostrophecms/docs@125bb97075a87d8a1dffe5e765ebeb05af0c4c13: tree not listed"",""Chocobozzz/PeerTube@faa76bad2c1969a088ef1df38dc666dfe7259b5c: tree not listed"",""ChurchSuite/churchsuite-api@8464fbfc6290b6d84a71e728e802d693a7d8ffc2: tree not listed"",""Cosmian/kms@d3e5d8693ab7fee328a2185e53fda76efd09e8d9: tree not listed"",""Helicone/helicone@067d9290acb4f1fc9320e902fc67b4b399b50363: tree not listed"",""PaloAltoNetworks/pan.dev@4e989cdd4bbda669dc73c0d3f5db90bb4989bee3: tree not listed"",""auto-agent-protocol/auto-agent-protocol@5d31c27b11c36a018754f34830954d836a55afe5: tree not listed"",""truefoundry/trueforge@5adde289683b642203b06b39ca687e9d977ca7a5: tree not listed"",""kushin77/agent-orchestrator@9ae4441d1aca473286be9de0e69f87ab9b8daa25: tree not listed"",""magrathean-uk/teslatlas-protocol@e33a296d26fcef3936ccaf61ccc73b0f7469b7a2: tree not listed"",""magrathean-uk/teslatlas-sdk-typescript@beb79c922d130722c88ffd009300a00f20ea0a1b: tree not listed"",""roryqueue/cowards-game@1e368dd81d96dcb458ff78975a107c2d9b260ef9: tree not listed""]"	[]	witness-search-github-publisher-trees/records.tsv
annotated-ref-target-composed	sourcegraph	witness-found; search continuation owed	2	1	[]	"[{""query"":""file:(openapi|swagger).*\\.json$ content:\""\\\""properties\\\""\"" content:\""\\\""allOf\\\""\"" content:\""\\\""$ref\\\""\"" content:\""\\\""title\\\""\"" count:all type:file"",""outcome"":""acquisition-failure"",""status"":""not-reported""}]"	0	0	0	[]	"[{""query"":""file:(openapi|swagger).*\\.json$ content:\""\\\""properties\\\""\"" content:\""\\\""allOf\\\""\"" content:\""\\\""$ref\\\""\"" content:\""\\\""title\\\""\"" count:all type:file"",""outcome"":""acquisition-failure"",""status"":""not-reported"",""at"":""2026-09-24T08:07:54.932+00:00"",""diagnostic"":""TimeoutError: The read operation timed out""}]"	witness-search-sourcegraph/records.tsv
annotated-ref-target-oneof	github-code-search	witness-found; search continuation owed	7	0	"[""\""properties:\"" \""allOf:\"" \""$ref:\"" \""oneOf:\"" \""title:\"" filename:openapi.yml"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""oneOf\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""oneOf:\"" \""title:\"" filename:swagger.yaml"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""oneOf\\\""\"" \""\\\""description\\\""\"" filename:swagger.json"",""\""properties:\"" \""allOf:\"" \""$ref:\"" \""oneOf:\"" \""description:\"" path:openapi language:YAML"",""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""oneOf\\\""\"" \""\\\""title\\\""\"" path:openapi language:JSON""]"	"[{""query"":""\""properties:\"" \""allOf:\"" \""$ref:\"" \""oneOf:\"" \""description:\"" filename:openapi.yaml"",""outcome"":""partitioned"",""status"":""not-reported""}]"	0	0	0	[]	"[{""query"":""\""properties:\"" \""allOf:\"" \""$ref:\"" \""oneOf:\"" \""description:\"" filename:openapi.yaml size:12499..24998"",""outcome"":""refused"",""status"":403,""at"":""2026-09-24T06:48:33.129+00:00"",""diagnostic"":{""documentation_url"":""https://docs.github.com/en/rest/using-the-rest-api/getting-started-with-the-rest-api#rate-limiting"",""message"":""API rate limit exceeded for user ID 19440155. If you reach out to GitHub Support for help, please include the request ID 5D2E:1A64:1503C8:473532:6AB4C7C0 and timestamp 2026-09-24 06:48:32 UTC. For more on scraping GitHub and how it may affect your rights, please review our Terms of Service (https://docs.github.com/en/site-policy/github-terms/github-terms-of-service)"",""status"":""403""}}]"	witness-search-github-code-search/records.tsv
annotated-ref-target-oneof	github-publisher-trees	witness-found; search continuation owed	0	0	[]	[]	0	8	0	"[""github/rest-api-description@3cef12e8a02d612ad032473d4fb87266f2befeae: 319 documents outstanding"",""cnorlander/BuildRelay@e5f47309d1ca6fd28267de041e7ed2f61e477723: tree not listed"",""livepeer/ai-runner@50a742cee7c5789ef4a10f8117f30de3758366a9: tree not listed"",""kytos-ng/sdntrace_cp@269f4482ecd4125dc1c115e059dbce26b7269216: tree not listed"",""WithSecureOpenSource/gdpr-subject-rights-api@0d2775dbf1c0830671a9efd878f03ae1eaf97995: tree not listed"",""emergentmethods/flowdapt@e8f34d411564e6c0e6542fe67d0604c23de1cf91: tree not listed"",""OpenBanking-Brasil/specs-directory@37423cbc93982e05eac255db6226ed599a5baace: tree not listed"",""Alia5/steaminputdb.com@a2bd0c37fd3d22e6b9e153b49e9a6e7de5a00393: tree not listed"",""BreydenSummers/Waypoint@6eaa6f3ada167561c8d620d3f5148d4b22b65497: tree not listed"",""Lifetron710/atlas@4613aac6d5da72cce831c79157af9d495dfd25b8: tree not listed"",""PaulKov/dpone@7da0e0e6b873eedacb097ddbf1ddb2a961fa1ebb: tree not listed"",""VinhDat267/ATI_Project@cd26cea1a236e7f5a2514ce54cab73ed409f3c69: tree not listed"",""agenticdriver/agenticdriver@fb851f577341699decf232d1f556a73b545758bf: tree not listed"",""apostrophecms/apostrophe@14eab51cfa6114f9d98b6c6acb600564fc734587: tree not listed"",""apostrophecms/docs@125bb97075a87d8a1dffe5e765ebeb05af0c4c13: tree not listed"",""Chocobozzz/PeerTube@faa76bad2c1969a088ef1df38dc666dfe7259b5c: tree not listed"",""ChurchSuite/churchsuite-api@8464fbfc6290b6d84a71e728e802d693a7d8ffc2: tree not listed"",""Cosmian/kms@d3e5d8693ab7fee328a2185e53fda76efd09e8d9: tree not listed"",""Helicone/helicone@067d9290acb4f1fc9320e902fc67b4b399b50363: tree not listed"",""PaloAltoNetworks/pan.dev@4e989cdd4bbda669dc73c0d3f5db90bb4989bee3: tree not listed"",""auto-agent-protocol/auto-agent-protocol@5d31c27b11c36a018754f34830954d836a55afe5: tree not listed"",""truefoundry/trueforge@5adde289683b642203b06b39ca687e9d977ca7a5: tree not listed"",""kushin77/agent-orchestrator@9ae4441d1aca473286be9de0e69f87ab9b8daa25: tree not listed"",""magrathean-uk/teslatlas-protocol@e33a296d26fcef3936ccaf61ccc73b0f7469b7a2: tree not listed"",""magrathean-uk/teslatlas-sdk-typescript@beb79c922d130722c88ffd009300a00f20ea0a1b: tree not listed"",""roryqueue/cowards-game@1e368dd81d96dcb458ff78975a107c2d9b260ef9: tree not listed""]"	[]	witness-search-github-publisher-trees/records.tsv
annotated-ref-target-oneof	sourcegraph	witness-found; search continuation owed	2	0	"[""file:(openapi|swagger).*\\.(yaml|yml)$ content:\""properties:\"" content:\""allOf:\"" content:\""$ref:\"" content:\""oneOf:\"" content:\""description:\"" count:all type:file"",""file:(openapi|swagger).*\\.json$ content:\""\\\""properties\\\""\"" content:\""\\\""allOf\\\""\"" content:\""\\\""$ref\\\""\"" content:\""\\\""oneOf\\\""\"" content:\""\\\""title\\\""\"" count:all type:file""]"	[]	0	0	0	[]	[]	witness-search-sourcegraph/records.tsv
annotated-ref-target-string-const	github-code-search	search-incomplete	7	5	[]	"[{""query"":""\""properties:\"" \""allOf:\"" \""$ref:\"" \""const:\"" \""description:\"" filename:openapi.yaml"",""outcome"":""partitioned"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""answered"",""status"":""not-reported""},{""query"":""\""\\\""properties\\\""\"" \""\\\""allOf\\\""\"" \""\\\""$ref\\\""\"" \""\\\""const\\\""\"" \""\\\""description\\\""\"" filename:openapi.json"",""outcome"":""outstanding-index-truncation"",""status"":""not-reported""}]"	3424	0	0	[]	[]	witness-search-github-code-search/records.tsv
