source	document	artifact	sha256	keys	immutable_ref	licence	licence_screen	ref_screen	fern_screen	disposition	screen_evidence
jentic	apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/input-bundle.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/input-bundle.json	0aa25f44905d314ab6e1e9517f33c6deecba25f966c8559eb93d89357bb4ae75	oauth2-password,property-sole-anyof-struct-member	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: aggregation grant admitted; publisher grant unproven	failed: publisher provenance unproven	not-run: licence or publisher-reference screen failed	witness-blocked	historical candidate screen in docs/openapi-surface/witness-search-redo/candidates.md; exact path and pinned jentic bytes
jentic	apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/input-entry.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/input-entry.json	0aa25f44905d314ab6e1e9517f33c6deecba25f966c8559eb93d89357bb4ae75	oauth2-password,property-sole-anyof-struct-member	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: aggregation grant admitted; publisher grant unproven	failed: publisher provenance unproven	not-run: licence or publisher-reference screen failed	witness-blocked	historical candidate screen in docs/openapi-surface/witness-search-redo/candidates.md; exact path and pinned jentic bytes
jentic	apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/output-bundle.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/output-bundle.json	0aa25f44905d314ab6e1e9517f33c6deecba25f966c8559eb93d89357bb4ae75	oauth2-password,property-sole-anyof-struct-member	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: aggregation grant admitted; publisher grant unproven	failed: publisher provenance unproven	not-run: licence or publisher-reference screen failed	witness-blocked	historical candidate screen in docs/openapi-surface/witness-search-redo/candidates.md; exact path and pinned jentic bytes
jentic	apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/output-entry.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/7shifts.com/7-shifts/2023-05-01/meta/import/output-entry.json	0aa25f44905d314ab6e1e9517f33c6deecba25f966c8559eb93d89357bb4ae75	oauth2-password,property-sole-anyof-struct-member	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: aggregation grant admitted; publisher grant unproven	failed: publisher provenance unproven	not-run: licence or publisher-reference screen failed	witness-blocked	historical candidate screen in docs/openapi-surface/witness-search-redo/candidates.md; exact path and pinned jentic bytes
jentic	apis/openapi/7shifts.com/7-shifts/2023-05-01/openapi.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/7shifts.com/7-shifts/2023-05-01/openapi.json	0aa25f44905d314ab6e1e9517f33c6deecba25f966c8559eb93d89357bb4ae75	oauth2-password,property-sole-anyof-struct-member	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: aggregation grant admitted; publisher grant unproven	failed: publisher provenance unproven	not-run: licence or publisher-reference screen failed	witness-blocked	historical candidate screen in docs/openapi-surface/witness-search-redo/candidates.md; exact path and pinned jentic bytes
jentic	apis/openapi/afterpay.com/main/v2/meta/import/input-bundle.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/afterpay.com/main/v2/meta/import/input-bundle.json	125e588d66a23a7f35d05600636dd71907f9e3cb6553a5f5081d4a4b822dd9c4	schema-name-nonidentifier-name	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: no evidenced publisher redistribution grant	failed: jentic pin exists but immutable publisher-byte equivalence is not evidenced	not-run: licence or publisher-reference screen failed	witness-blocked	new selector declarer at pinned jentic tree; meta import source not a pinned publisher byte match
jentic	apis/openapi/afterpay.com/main/v2/meta/import/input-entry.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/afterpay.com/main/v2/meta/import/input-entry.json	125e588d66a23a7f35d05600636dd71907f9e3cb6553a5f5081d4a4b822dd9c4	schema-name-nonidentifier-name	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: no evidenced publisher redistribution grant	failed: jentic pin exists but immutable publisher-byte equivalence is not evidenced	not-run: licence or publisher-reference screen failed	witness-blocked	new selector declarer at pinned jentic tree; meta import source not a pinned publisher byte match
jentic	apis/openapi/afterpay.com/main/v2/meta/import/output-bundle.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/afterpay.com/main/v2/meta/import/output-bundle.json	125e588d66a23a7f35d05600636dd71907f9e3cb6553a5f5081d4a4b822dd9c4	schema-name-nonidentifier-name	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: no evidenced publisher redistribution grant	failed: jentic pin exists but immutable publisher-byte equivalence is not evidenced	not-run: licence or publisher-reference screen failed	witness-blocked	new selector declarer at pinned jentic tree; meta import source not a pinned publisher byte match
jentic	apis/openapi/afterpay.com/main/v2/meta/import/output-entry.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/afterpay.com/main/v2/meta/import/output-entry.json	125e588d66a23a7f35d05600636dd71907f9e3cb6553a5f5081d4a4b822dd9c4	schema-name-nonidentifier-name	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: no evidenced publisher redistribution grant	failed: jentic pin exists but immutable publisher-byte equivalence is not evidenced	not-run: licence or publisher-reference screen failed	witness-blocked	new selector declarer at pinned jentic tree; meta import source not a pinned publisher byte match
jentic	apis/openapi/afterpay.com/main/v2/openapi.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/afterpay.com/main/v2/openapi.json	125e588d66a23a7f35d05600636dd71907f9e3cb6553a5f5081d4a4b822dd9c4	schema-name-nonidentifier-name	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: no evidenced publisher redistribution grant	failed: jentic pin exists but immutable publisher-byte equivalence is not evidenced	not-run: licence or publisher-reference screen failed	witness-blocked	new selector declarer at pinned jentic tree; meta import source not a pinned publisher byte match
jentic	apis/openapi/airbyte.com/main/1.0.0/meta/import/input-bundle.json	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/airbyte.com/main/1.0.0/meta/import/input-bundle.json	708191b07d3e0852dd0e676af6298676e5e2f86ea0992f6526a29c4ac8acb64c	ref-pointer-undeclared-component-head	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	none	failed: aggregation grant admitted; publisher grant unproven	failed: publisher provenance unproven	not-run: licence or publisher-reference screen failed	witness-blocked	historical candidate screen in docs/openapi-surface/witness-search-redo/candidates.md; exact path and pinned jentic bytes
