key	kind	subject	result	file
annotated-ref-target-closed-object	walk	jentic/jentic-public-apis@eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	74240	acquisition-manifest.tsv
annotated-ref-target-closed-object	document	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	candidate	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json licence	failed	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json ref	not-run	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json fern	not-run	candidates.tsv
annotated-ref-target-closed-object	document	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	candidate	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json licence	failed	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json ref	not-run	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json fern	not-run	candidates.tsv
annotated-ref-target-closed-object	document	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	candidate	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json licence	failed	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json ref	not-run	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json fern	not-run	candidates.tsv
annotated-ref-target-closed-object	document	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	candidate	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json licence	failed	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json ref	not-run	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json fern	not-run	candidates.tsv
annotated-ref-target-closed-object	document	apis/openapi/pandascore.co/main/2.23.1/openapi.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	candidate	apis/openapi/pandascore.co/main/2.23.1/openapi.json	census 7	census.jsonl.gz
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/openapi.json licence	failed	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/openapi.json ref	not-run	candidates.tsv
annotated-ref-target-closed-object	screen	apis/openapi/pandascore.co/main/2.23.1/openapi.json fern	not-run	candidates.tsv
