repository	pinned_ref	prior_path	derivation	acquisition
Adyen/adyen-openapi	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	json/CheckoutService-v71.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
Redocly/museum-openapi-example	2770b2b2e59832d245c7b0eb0badf6568d7efb53	openapi.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
advplyr/audiobookshelf	0a797ab8bee15dc3ca92d1d76155259c46dbec62	docs/openapi.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
apache/superset	485008224719a7b42162429fccb4a910347c532b	docs/static/resources/openapi.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
asana/openapi	700bc9a7970c747209137f83aae07923e7477574	defs/asana_oas.yaml	prior portal source list (catalogue-portals-sources.tsv); registered corpus and APIs.guru declarers	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
box/box-openapi	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	openapi.json	prior portal source list (catalogue-portals-sources.tsv); registered corpus and APIs.guru declarers	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
cloudflare/api-schemas	f2df0ca75c0fec9047e91a34c20dd666c2dcd1ba	openapi.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
cohere-ai/cohere-developer-experience	c26cd7f411d63adb703b92ab2653e77b537c0e40	cohere-openapi.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
digitalocean/openapi	e3df8b7958867470943845c80b5d4c6fc2edff3b	specification/DigitalOcean-public.v2.yaml	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
discord/discord-api-spec	e54b849b5c10f74ad1db4fd4ec219e3ef382cbe8	specs/openapi.json	prior portal source list (catalogue-portals-sources.tsv)	acquired at pinned commit; archive digest in witness-search-vendor-portals/acquisitions.jsonl
