source	key	selector	document	count
apis.guru	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	pandascore.co/2.23.1	7
apis.guru	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	asana.com/1.0	2
apis.guru	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	box.com/2.0.0	34
apis.guru	annotated-ref-target-oneof	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.oneOf	pandascore.co/2.23.1	4
apis.guru	anyof-array-variant-closed-object-item	schema.anyOf>schema.type:primary=array&schema.items>schema.additionalProperties=false	webflow.com/2023-03-01T164537Z	1
apis.guru	anyof-array-variant-struct-item	schema.anyOf>schema.type:primary=array&schema.items>schema.properties:non-empty	stripe.com/2022-11-15	20
apis.guru	anyof-array-variant-struct-item	schema.anyOf>schema.type:primary=array&schema.items>schema.properties:non-empty	webflow.com/2023-03-01T164537Z	1
apis.guru	anyof-sole-member	schema.anyOf:sole-member	github.com:ghes-3.1/1.1.4	1
apis.guru	anyof-sole-member	schema.anyOf:sole-member	rebilly.com/2.1	17
apis.guru	anyof-sole-member	schema.anyOf:sole-member	shotstack.io/v1	1
apis.guru	anyof-sole-member	schema.anyOf:sole-member	soundcloud.com/1.0.0	3
apis.guru	anyof-sole-member	schema.anyOf:sole-member	stripe.com/2022-11-15	231
apis.guru	anyof-sole-member	schema.anyOf:sole-member	zoom.us/2.0.0	1
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:accounting/2.1.0	178
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:assess/1.0	45
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:bank-feeds/2.1.0	20
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:banking/2.1.0	8
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:commerce/2.1.0	31
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:sync-for-commerce/1.1	6
apis.guru	ref-pointer-unnamed-segment	schema.$ref:unnamed-segment	codat.io:sync-for-expenses/prealpha	2
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/main/2.23.1/openapi.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/input-bundle.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/input-entry.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/output-bundle.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/output-entry.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/openapi.json	7
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/zulip.com/zulip/1.0.0/meta/import/input-bundle.json	4
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/zulip.com/zulip/1.0.0/meta/import/input-entry.json	4
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/zulip.com/zulip/1.0.0/meta/import/output-bundle.json	4
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/zulip.com/zulip/1.0.0/meta/import/output-entry.json	4
jentic	annotated-ref-target-closed-object	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.additionalProperties=false	openapi/zulip.com/zulip/1.0.0/openapi.json	4
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/asana.com/main/1.0/meta/import/input-bundled.json	2
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/asana.com/main/1.0/meta/import/input-entry.json	2
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/asana.com/main/1.0/meta/import/output-bundled.json	2
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/asana.com/main/1.0/meta/import/output-entry.json	2
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/asana.com/main/1.0/openapi.json	2
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/box.com/main/2024.0/meta/import/input-bundle.json	35
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/box.com/main/2024.0/meta/import/input-entry.json	35
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/box.com/main/2024.0/meta/import/output-bundle.json	35
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/box.com/main/2024.0/meta/import/output-entry.json	35
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/box.com/main/2024.0/openapi.json	35
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/codat.io/accounting/3.0.0/meta/import/input-bundled.json	26
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/codat.io/accounting/3.0.0/meta/import/input-entry.json	26
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/codat.io/accounting/3.0.0/meta/import/output-bundled.json	26
jentic	annotated-ref-target-composed	schema.properties>schema.allOf:annotated-ref&schema.allOf>schema.$ref~>schema.allOf	openapi/codat.io/accounting/3.0.0/meta/import/output-entry.json	26
