source	name	immutable_ref	path	url	status
jentic	jentic/jentic-public-apis	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	apis	https://codeload.github.com/jentic/jentic-public-apis/tar.gz/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	answered
vendor-portals	Adyen/adyen-openapi	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	json/CheckoutService-v71.json	https://raw.githubusercontent.com/Adyen/adyen-openapi/f82d1fe674e536cc2c6b0d7946e0e827873a4fbf/json/CheckoutService-v71.json	answered
vendor-portals	Redocly/museum-openapi-example	2770b2b2e59832d245c7b0eb0badf6568d7efb53	openapi.yaml	https://raw.githubusercontent.com/Redocly/museum-openapi-example/2770b2b2e59832d245c7b0eb0badf6568d7efb53/openapi.yaml	answered
vendor-portals	advplyr/audiobookshelf	0a797ab8bee15dc3ca92d1d76155259c46dbec62	docs/openapi.json	https://raw.githubusercontent.com/advplyr/audiobookshelf/0a797ab8bee15dc3ca92d1d76155259c46dbec62/docs/openapi.json	answered
vendor-portals	apache/superset	485008224719a7b42162429fccb4a910347c532b	docs/static/resources/openapi.json	https://raw.githubusercontent.com/apache/superset/485008224719a7b42162429fccb4a910347c532b/docs/static/resources/openapi.json	answered
vendor-portals	asana/openapi	700bc9a7970c747209137f83aae07923e7477574	defs/asana_oas.yaml	https://raw.githubusercontent.com/asana/openapi/700bc9a7970c747209137f83aae07923e7477574/defs/asana_oas.yaml	answered
vendor-portals	box/box-openapi	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	openapi.json	https://raw.githubusercontent.com/box/box-openapi/933ec4c5d9f4dbdaaa823efa3a083cf177aecbde/openapi.json	answered
vendor-portals	cloudflare/api-schemas	f2df0ca75c0fec9047e91a34c20dd666c2dcd1ba	openapi.json	https://raw.githubusercontent.com/cloudflare/api-schemas/f2df0ca75c0fec9047e91a34c20dd666c2dcd1ba/openapi.json	answered
vendor-portals	cohere-ai/cohere-developer-experience	c26cd7f411d63adb703b92ab2653e77b537c0e40	cohere-openapi.yaml	https://raw.githubusercontent.com/cohere-ai/cohere-developer-experience/c26cd7f411d63adb703b92ab2653e77b537c0e40/cohere-openapi.yaml	answered
vendor-portals	digitalocean/openapi	e3df8b7958867470943845c80b5d4c6fc2edff3b	specification/DigitalOcean-public.v2.yaml	https://raw.githubusercontent.com/digitalocean/openapi/e3df8b7958867470943845c80b5d4c6fc2edff3b/specification/DigitalOcean-public.v2.yaml	answered
vendor-portals	discord/discord-api-spec	e54b849b5c10f74ad1db4fd4ec219e3ef382cbe8	specs/openapi.json	https://raw.githubusercontent.com/discord/discord-api-spec/e54b849b5c10f74ad1db4fd4ec219e3ef382cbe8/specs/openapi.json	answered
vendor-portals	docker/docker-py	afc6d1ee308e78b908b96a94298c37fa8c465588	docs/api.md	https://raw.githubusercontent.com/docker/docker-py/afc6d1ee308e78b908b96a94298c37fa8c465588/docs/api.md	not-openapi
vendor-portals	drakkan/sftpgo	c737df6cd42ef375bf51a2d0a04ea2b1ab9f8842	openapi/openapi.yaml	https://raw.githubusercontent.com/drakkan/sftpgo/c737df6cd42ef375bf51a2d0a04ea2b1ab9f8842/openapi/openapi.yaml	answered
vendor-portals	dropbox/dropbox-api-spec	6d985dfaf901f1a909aa5e268bcfa524b0b7966e	files.json	https://raw.githubusercontent.com/dropbox/dropbox-api-spec/6d985dfaf901f1a909aa5e268bcfa524b0b7966e/files.json	unanswered-404
vendor-portals	elevenlabs/elevenlabs-docs	—	fern/apis/api/openapi.json	—	unanswered-no-immutable-ref
vendor-portals	github/rest-api-description	3cef12e8a02d612ad032473d4fb87266f2befeae	descriptions/api.github.com/api.github.com.json	https://raw.githubusercontent.com/github/rest-api-description/3cef12e8a02d612ad032473d4fb87266f2befeae/descriptions/api.github.com/api.github.com.json	answered
vendor-portals	gotson/komga	656001eb03bf8b54ca909f3e74fe2ec1b95dac48	komga/docs/openapi.json	https://raw.githubusercontent.com/gotson/komga/656001eb03bf8b54ca909f3e74fe2ec1b95dac48/komga/docs/openapi.json	answered
vendor-portals	intercom/Intercom-OpenAPI	3d5adcb2eeb0df209d83035c2f5bc69c932b2644	descriptions/2.11/api.intercom.io.yaml	https://raw.githubusercontent.com/intercom/Intercom-OpenAPI/3d5adcb2eeb0df209d83035c2f5bc69c932b2644/descriptions/2.11/api.intercom.io.yaml	answered
