source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	record
apis.guru	annotated-ref-target-closed-object	https://api.apis.guru/v2/specs/pandascore.co/2.23.1/openapi.yaml	no-immutable-ref: served catalogue version URL is mutable; pinned YAML fallback recorded separately	c897eef05f5948bf9329516408143580ab063b288c646b86fc5338a29b050d50	7	failed: no document grant and no publisher grant evidenced (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-apis.guru/records.tsv:2
vendor-portals	annotated-ref-target-closed-object	https://api.pandascore.co/openapi.json	no-immutable-ref: https://api.pandascore.co/openapi.json is a mutable live endpoint	1d03b8704499388a9acac597a517cef324a89bf209b93f3ed16c893947e557cc	40	failed: no evidenced publisher redistribution grant; info.license absent in measured response (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-vendor-portals/records.tsv:2
apis.guru	annotated-ref-target-closed-object	https://raw.githubusercontent.com/APIs-guru/openapi-directory/f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49/APIs/pandascore.co/2.23.1/openapi.yaml	f04b8d0bcd39c52e1cf3ad7a5fe744709832ae49	c897eef05f5948bf9329516408143580ab063b288c646b86fc5338a29b050d50	7	failed: no document grant and no publisher grant evidenced (document licence: none)	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-apis.guru/records.tsv:3
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/main/2.23.1/meta/import/input-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	163af164b8d5ce50a80d913ea47167fc5cba5c16da9b892fcfb484fb68ebf25c	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:2
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/main/2.23.1/meta/import/input-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	163af164b8d5ce50a80d913ea47167fc5cba5c16da9b892fcfb484fb68ebf25c	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:3
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/main/2.23.1/meta/import/output-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	163af164b8d5ce50a80d913ea47167fc5cba5c16da9b892fcfb484fb68ebf25c	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:4
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/main/2.23.1/meta/import/output-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	163af164b8d5ce50a80d913ea47167fc5cba5c16da9b892fcfb484fb68ebf25c	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:5
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/main/2.23.1/openapi.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	163af164b8d5ce50a80d913ea47167fc5cba5c16da9b892fcfb484fb68ebf25c	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:6
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/input-bundle.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	3d238afcf5ede4dc3d22870e238ff3c1891a22d150e7edf8f8566918e86eb7bb	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:7
jentic	annotated-ref-target-closed-object	https://raw.githubusercontent.com/jentic/jentic-public-apis/eb9d12a2684b0fbcb5aecf51e8ae54dba0929743/apis/openapi/pandascore.co/pandascore-rest-api-for-all-videogames/2.23.1/meta/import/input-entry.json	eb9d12a2684b0fbcb5aecf51e8ae54dba0929743	3d238afcf5ede4dc3d22870e238ff3c1891a22d150e7edf8f8566918e86eb7bb	7	failed: see exact grant finding (document licence: none); jentic redistribution: CC0-1.0	not-run: licence screen failed	not-run: licence screen failed	rejected	witness-search-jentic/records.tsv:8
