source	key	candidate	revision	digest	census	licence_screen	revision_screen	fern_screen	disposition	evidence
sourcegraph	annotated-ref-target-closed-object	0xfurai/peekaping:apps/server/docs/swagger.json	742a60d94fdaacc977c09444b651f7cf1c1aab9e	0aab52c826cb345b76704441c137ba3df5ef9396ecd258545f926876f295e320	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:1
sourcegraph	annotated-ref-target-closed-object	0xfurai/peekaping:apps/server/docs/swagger.yaml	742a60d94fdaacc977c09444b651f7cf1c1aab9e	6dad44e3c879f56c9d71b5e3850bc001b972abda07c983d05a2a56282843c51d	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:2
sourcegraph	annotated-ref-target-closed-object	0xfurai/peekaping:apps/web/swagger.json	742a60d94fdaacc977c09444b651f7cf1c1aab9e	74b314c2fbe84bcc0886fdf482d3c883dbc3e5a1e9eb336a1335f35788600428	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:3
sourcegraph	annotated-ref-target-closed-object	1Panel-dev/1Panel:core/cmd/server/docs/swagger.json	65243c68c463cc055ab044093f641ea5d2e9e28b	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:2
sourcegraph	annotated-ref-target-closed-object	1Panel-dev/KubePi:cmd/server/docs/swagger.json	e183085da6e5b74dd17a44a3a6812cbe6dacc652	63ff17a9c4e2a3ff88f748118c8dacefe2c947c243b863830b1369c5faa5d8fd	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:4
sourcegraph	annotated-ref-target-closed-object	1Panel-dev/KubePi:cmd/server/docs/swagger.yaml	e183085da6e5b74dd17a44a3a6812cbe6dacc652	be537e7ca8bd3db6f898569a25cb88017a6ac87e42199fcab741ac31cb531365	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:5
sourcegraph	annotated-ref-target-closed-object	1backend/1backend:server/docs/swagger.json	65ffb46ae9fc39cc285b0be8773c3b1e159b32d9	60759cf30cbf89d36bf38a95a289a53bfd904be49fcb4bf976a749573f294bd5	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:6
sourcegraph	annotated-ref-target-closed-object	1backend/1backend:server/docs/swagger.yaml	65ffb46ae9fc39cc285b0be8773c3b1e159b32d9	708a0660b148f1d17df2194a33df01d2ed9fadba40d22a3bf1328f78197b8bc3	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:7
sourcegraph	annotated-ref-target-closed-object	281677160/openwrt-package:luci-app-store/luci/luci-app-store/swagger.yaml	b2a7064a9fb3aad13fdd7acb9cbf8dd99ac81526	4ee24b67964f4684b845517978cf6a1be3bfbe9d4fc987fb84be12f9eef98f4c	excluded-non-openapi-3: not OpenAPI 3	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:8
sourcegraph	annotated-ref-target-closed-object	3252a8/remnawave-minishop:docs-site/public/openapi.json	efca443d986446cc9e205a5e24c4ffca0b77a7ba	b3adeffa19a50e481ec2112420d1ed795b39da1e6e52b3cb097f92d28e9a0e80	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:9
sourcegraph	annotated-ref-target-closed-object	3252a8/remnawave-minishop:docs/openapi.json	efca443d986446cc9e205a5e24c4ffca0b77a7ba	b3adeffa19a50e481ec2112420d1ed795b39da1e6e52b3cb097f92d28e9a0e80	census 0	not-run: census found no declaration	not-run: census found no declaration	not-run: census found no declaration	rejected	candidates.jsonl:10
sourcegraph	annotated-ref-target-closed-object	3redronin/mu-server:src/test/resources/openapi/draft-2020-12-applicator.json	24119c79d7953f3dacd4cdc87536b9b2fd829b6a	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:2
sourcegraph	annotated-ref-target-closed-object	3redronin/mu-server:src/test/resources/openapi/draft-2020-12-schema.json	24119c79d7953f3dacd4cdc87536b9b2fd829b6a	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:2
sourcegraph	annotated-ref-target-closed-object	3redronin/mu-server:src/test/resources/openapi/schema-2026-08-30.json	24119c79d7953f3dacd4cdc87536b9b2fd829b6a	not-fetched	acquisition-outstanding: document not yet fetched	not-run: acquisition-outstanding	not-run: acquisition-outstanding	not-run: acquisition-outstanding	outstanding	queries.jsonl:2
