key	kind	subject	result	file
annotated-ref-target-closed-object	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"allOf:" content:"$ref:" content:"additionalProperties:" content:"additionalProperties: false" count:all type:file	777	queries.jsonl
annotated-ref-target-closed-object	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"allOf:" content:"$ref:" content:"additionalProperties:" count:all type:file	5212	queries.jsonl
annotated-ref-target-closed-object	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"allOf\"" content:"\"$ref\"" content:"\"additionalProperties\"" content:"false" count:all type:file	6508	queries.jsonl
annotated-ref-target-closed-object	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"allOf\"" content:"\"$ref\"" content:"\"additionalProperties\"" count:all type:file	6942	queries.jsonl
annotated-ref-target-composed	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"allOf:" content:"$ref:" content:"description:" count:all type:file	8916	queries.jsonl
annotated-ref-target-composed	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"allOf\"" content:"\"$ref\"" content:"\"title\"" count:all type:file	11116	queries.jsonl
annotated-ref-target-oneof	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"allOf:" content:"$ref:" content:"oneOf:" content:"description:" count:all type:file	1927	queries.jsonl
annotated-ref-target-oneof	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"allOf\"" content:"\"$ref\"" content:"\"oneOf\"" content:"\"title\"" count:all type:file	3241	queries.jsonl
annotated-ref-target-string-const	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"properties:" content:"allOf:" content:"$ref:" content:"const:" content:"description:" count:all type:file	329	queries.jsonl
annotated-ref-target-string-const	query	file:(openapi|swagger).*\.json$ content:"\"properties\"" content:"\"allOf\"" content:"\"$ref\"" content:"\"const\"" content:"\"title\"" count:all type:file	288	queries.jsonl
anyof-array-variant-anyof-nullable-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"type:" content:"items:" content:"type: array" count:all type:file	2545	queries.jsonl
anyof-array-variant-anyof-nullable-item	query	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"type\"" content:"\"items\"" content:"array" count:all type:file	1725	queries.jsonl
anyof-array-variant-closed-object-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"type:" content:"items:" content:"additionalProperties:" content:"type: array" count:all type:file	1318	queries.jsonl
anyof-array-variant-closed-object-item	query	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"type\"" content:"\"items\"" content:"\"additionalProperties\"" content:"array" count:all type:file	2310	queries.jsonl
anyof-array-variant-empty-object-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"type:" content:"items:" content:"additionalProperties:" content:"properties:" content:"type: array" count:all type:file	1318	queries.jsonl
anyof-array-variant-empty-object-item	query	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"type\"" content:"\"items\"" content:"\"additionalProperties\"" content:"\"properties\"" content:"array" count:all type:file	1517	queries.jsonl
anyof-array-variant-oneof-nullable-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"type:" content:"items:" content:"oneOf:" content:"type: array" count:all type:file	1220	queries.jsonl
anyof-array-variant-oneof-nullable-item	query	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"type\"" content:"\"items\"" content:"\"oneOf\"" content:"array" count:all type:file	2095	queries.jsonl
anyof-array-variant-struct-item	query	file:(openapi|swagger).*\.(yaml|yml)$ content:"anyOf:" content:"type:" content:"items:" content:"properties:" content:"type: array" count:all type:file	2527	queries.jsonl
anyof-array-variant-struct-item	query	file:(openapi|swagger).*\.json$ content:"\"anyOf\"" content:"\"type\"" content:"\"items\"" content:"\"properties\"" content:"array" count:all type:file	3309	queries.jsonl
