walk	document	revision	sha256
Adyen/adyen-openapi	Adyen--adyen-openapi/.github/workflows/notify.yml	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	9ec449801e248830d6cc02529d7563a0832c51e2370859de615d6cc12d756ff8
Adyen/adyen-openapi	Adyen--adyen-openapi/json/A2APaymentsService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	0dbf3a59d37a21aa6162f6648825ad544e37125a9ef9fd612612a0c788766d4c
Adyen/adyen-openapi	Adyen--adyen-openapi/json/AccountService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5896dea74c98f5f11193d0be928c142c76fdbc958c70cd8024c760c772547b46
Adyen/adyen-openapi	Adyen--adyen-openapi/json/AccountService-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	756a7db61b4b8ea343881039079ed20a563f417ed9e85b908ac7efe7ac94fa20
Adyen/adyen-openapi	Adyen--adyen-openapi/json/AccountService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	06cbe90ffec2c819d404de1a4ec89f6f0eb9e95b9110e230afc01f87c1cf8e23
Adyen/adyen-openapi	Adyen--adyen-openapi/json/AccountService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8de73063832f9869170c915ca39220cb876e4f185f23dd22e9fc42ee3efd9e3e
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalanceControlService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a66a4a1b49c3d0d4100db0962b732ec8e2c9c7ceae3ede05c2b56bdffc1dfa1e
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalanceControlService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	31a36a1390178be36c1a0832e18be60ffb17c81de999f8f955e14af4667b8474
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformAccountingNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2a1e3429d834a0295d9fa9070d17cd187632b99e263e5c7be892b329b7257534
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformAccountingNotification-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	20e0d96b1e922c6ce166832d501a86f20bea933a57313393ef942a6973c824fe
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformAcsNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	6e09e9b5342ecc02e846cd9b6f40681538ce733fca61f46571bdc5241c8495ea
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformBalanceNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	ac5b3cab3212d4d4b5b526aa8fb8e383476ed4cf8cd6e927cf658f6ba86ce193
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformConfigurationNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	74e0766552b144d791e3bb8527c779d87adac6f1f79579f0a3ec2386411d5606
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformConfigurationNotification-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	01b61cd1cfdc7b53e562f8bc99a6996ef6a9c8752f4a79a3cbd6a39aeadf0c6c
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformDisputeNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5737b3fefde8e8f21fa9f556405804cc4fca9ce3d2530e447205aa521d0d61b3
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformGrantNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	e5c4bb577e369d370b264ad5e60340cba2397d791fbe08848043344361418693
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformManagedRiskNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f22956a277991d410d27d048659aa9cd885058608b224e623abd9eea3eb6607b
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformNegativeBalanceCompensationWarningNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	05402ffb243ef46393d33817fc988eff73516723f95df87b8cd069fd79bfc344
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformPaymentNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f977bd66d03ed337aa7bcf70afdf08bd50746bee29fd8e25ac10c5310362e0aa
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformRelayedAuthorisationNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	63b6fef623b14630985940739ce6a3572a91df20f297fd24ce0d4916ec09ac79
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformRelayedAuthorisationNotification-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7b9bccbdad558a5fb5405b691ee5789500093eb659d75f34064c9f38f84d27cc
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformRelayedAuthorisationNotification-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	42573720e06e77229f964e802a1476311760356e3f1b1314b2270e459c7bd492
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformReportNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8f2cf3225becbd36e0582639e49a577b3ef02d9ee93136f88abe4972d29213ca
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	c3d956efeb4f8cff512077378cfb1d9c9b38fd720aa694dec02cae327c365ec6
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8761ac1a9aab15ff6ae84bf8cdf83ca2a2926c5eb0d5d59b64fdbc18911d9ab4
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformTransactionNotification-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	c017c89744b5bbc81757af9a224b8e2dc7186b5619c87203b15517329c9f6e55
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformTransferNotification-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	1e730d110ee05b07ecd99379325200e69bed791761f8c9344b132e776f720628
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BalancePlatformTransferNotification-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2a1bbc0ac46d446485240fb71bd74a2efee788f881bbabd027c2010fa51d638c
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BinLookupService-v40.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	0e29a2e42c98b260401a02cbb03e578f335b90993a735cd566129216b2ba70f4
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BinLookupService-v50.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	98a1bb3e04131c780fefd9637ee77a50088726ba08a03007a2e5ec850e9639b3
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BinLookupService-v52.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5d10c90ba84e214dcd7332e45f3de124e95667ffb19bf3aa94d029c035b6a14d
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BinLookupService-v53.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7843c3eff43b09f4e499afa9a6b126c37efbef35c59f280bdfdb54712ed1f530
Adyen/adyen-openapi	Adyen--adyen-openapi/json/BinLookupService-v54.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a60793003268bd224b57469e1968fc2902584198bc019b678354c5c3e2e50495
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CapitalService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	03969223d168d12c64c77dae327ea08a0c914a3104a77caf3ccb968ee61af0d7
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v37.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	513ede066d35af45ccbef68a3c034f422c862eb00090ef7c37947936e8a2eb3d
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v40.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7ed130262c6ec5ea41442029091e9417d34b1dc5206ee49e2b13a8428d41ce14
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v41.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	bcb2c11c80a58f004fe04860a906e7a3203ec807181f404db739ca7ce49c5966
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v46.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	e7633e1e0b406eae4f0b56e5b821f64a9106c50d2921d24a2c241744035c16c4
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v49.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	d9c91d454b6e5f911d9e894584edb58a2c368c843eaefec3c29b0bf50cd4591a
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v50.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	ec145b6371783737a3bd34b748d8369ec930ba03308e87e4048c9912442377a4
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v51.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	45ba9e6af89bba87a92362d3aa17b4426bbd0059763b15c4469b232f7378a985
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v52.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	19128c08ad0c929352322de367e74832caab6f682ca97a31255b7a877f32b583
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v53.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	bd13379117da4efb3c38ea2b909bb440ea353f7df3b1e1c3ee9e79bc3af90ceb
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v64.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2e3286f3a46761cf6ae94e9ff004f3af4db357cd4ca47f98872a8c42c1c28ec7
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v65.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	6240fc0856755c4a3f27da9530e347331bb0c93dac5897ee73693329bf5d9c94
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v66.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	5a4bdd5fcaaa65dbc9550c416d9114670ad5abaa166542d5d11aec76149ee885
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v67.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	57ebef757f5e62d29f7a21d1922c58dd6f196a40ffddc2ae3d008727fb41fa18
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v68.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	8b940a328c622be42a8b13ed64ff3ab8cbca1430b12a9cdf736a1a062ade5a48
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v69.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	466fca4656e34f42d07e87026be098f90903612576aecc2f823989b45b2a73e3
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v70.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a2d1f411288c78b1f34fd19ecfb037d37936e9d31e857ccdac5f838084554306
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v71.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	fd59f89f18d134f901d6d42b7aabad1c8afd4e2eb733823ba50944c034f1095a
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CheckoutService-v72.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f4081494707eb5ff6486397b366079b5375fcedb666bbe1604fe91bc01a4affb
Adyen/adyen-openapi	Adyen--adyen-openapi/json/CloudDeviceService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	0971b53339fcfbac57983d81d83bd18f728b7c61293c1dd6758f2e817c9b0966
Adyen/adyen-openapi	Adyen--adyen-openapi/json/DataProtectionService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7b7145f757ef5926a378e568f2553167d6167d5cf8442d0283fd605ac0bdb3ac
Adyen/adyen-openapi	Adyen--adyen-openapi/json/DisputeService-v30.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2379cba0a5508a61f50503e796fa9b74ad328d0759953e7b8258e179980291d8
Adyen/adyen-openapi	Adyen--adyen-openapi/json/DocumentCollectorService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	eca552a1ca080d53fb7b87afbbf73613e5d5b65053604f1962b2e4f4a40ef915
Adyen/adyen-openapi	Adyen--adyen-openapi/json/ForeignExchangeService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	ee079efed5ade31ddc5b9a5c8aa86e4100113ee1c72fbe450b3e0f0f0b022493
Adyen/adyen-openapi	Adyen--adyen-openapi/json/ForwardApiNotification-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	b679bbb02ac13501b644a23402bc82233840b2e97c42fd0fd093bb8a696c0829
Adyen/adyen-openapi	Adyen--adyen-openapi/json/FundService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	9b48191399460b42c01764f012778fb9b7f0de5e8c3951184825bc206da88684
Adyen/adyen-openapi	Adyen--adyen-openapi/json/FundService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	9033c2c7bc2e79ea5ea774dcf748e4b0a85d708446de8557cef3890211f0b060
Adyen/adyen-openapi	Adyen--adyen-openapi/json/FundService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	75d78caf83c618bde36f61b8b096b21d3354e80fca019e511d5bb59e0f0272bc
Adyen/adyen-openapi	Adyen--adyen-openapi/json/HopService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	b2b000b1161e101d9baa41a787d058a0b91ffd77de03c7f683abb7d39603f062
Adyen/adyen-openapi	Adyen--adyen-openapi/json/HopService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	fb5a3c2901430a7cb4372a9f32b98356314edfa134d60cbf4047c042eef71637
Adyen/adyen-openapi	Adyen--adyen-openapi/json/HopService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f10fbf469ffff94245fdcca0eb77df31bc7ff5b16b0a223b8bb133397f64ebb1
Adyen/adyen-openapi	Adyen--adyen-openapi/json/LegalEntityService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	d0097ab4e2e808dbfc7f7abdac55c8f1f59120833185ab9783921f506d39574a
Adyen/adyen-openapi	Adyen--adyen-openapi/json/LegalEntityService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	e247b56589655eb54e784be3a132558343a529d4592b75c4d3cc0fb281f30433
Adyen/adyen-openapi	Adyen--adyen-openapi/json/LegalEntityService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2ae704e1705b9775ed326ab5311dad551552ce539c54919c033157ad39fdca58
Adyen/adyen-openapi	Adyen--adyen-openapi/json/LegalEntityService-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	af8c939f2cd9585b09bcee4b584370ece32586d46463c9f8f2c8a3b5b83ea9d8
Adyen/adyen-openapi	Adyen--adyen-openapi/json/ManagementNotificationService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	c97f44056d5d7852405286b1e4fb63904c5da27b78eeeacc06a062eb83c93734
Adyen/adyen-openapi	Adyen--adyen-openapi/json/ManagementNotificationService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	283874775792641df2b9d27d5b5c91b8a057f30642bfc65d35dce7e49c3480be
Adyen/adyen-openapi	Adyen--adyen-openapi/json/ManagementService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	1089ade06e176cc5f7fd861a24382cb85532a0a70051ac5d689ab9a87c27fe16
Adyen/adyen-openapi	Adyen--adyen-openapi/json/ManagementService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f634b6afa6536597c0885dab710a35feec94ba34fe77f95056f3a15d318ab212
Adyen/adyen-openapi	Adyen--adyen-openapi/json/MarketPayNotificationService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	fae4b3da8f9f5a82a11ca60c77b591e76923db5de08735c86db5c1126c7b64c0
Adyen/adyen-openapi	Adyen--adyen-openapi/json/MarketPayNotificationService-v4.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f5654ffc1da2ab128da408409ff1d0ff19b17ca40e8381b16a0ae098b81a21d7
Adyen/adyen-openapi	Adyen--adyen-openapi/json/MarketPayNotificationService-v5.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	30fee0e37703381a54b35ed33e8edc4d038300761304778b87bf1f026a96725d
Adyen/adyen-openapi	Adyen--adyen-openapi/json/MarketPayNotificationService-v6.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	2b6f04c400a53a20e6345a5655f382a6fcaae9aeebcce0116d6294a74bef54e8
Adyen/adyen-openapi	Adyen--adyen-openapi/json/NotificationConfigurationService-v1.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	7c50dc09939d0c3fb67d2b60eac1a6b4e96624654e23b0dcdec2e00020922acc
Adyen/adyen-openapi	Adyen--adyen-openapi/json/NotificationConfigurationService-v2.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	f14985e70cd21176ea7cdc489ca7a29b91440e8b8bf10172ed73b9810134e069
Adyen/adyen-openapi	Adyen--adyen-openapi/json/NotificationConfigurationService-v3.json	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	a440f0ed2ae8c574da45c6b2c7704a077818c2e7cf0b1337f4f629f28fd98e98
