publisher_repository	pinned_ref	licence_path	licence_sha256	licence	screen
Adyen/adyen-openapi	f82d1fe674e536cc2c6b0d7946e0e827873a4fbf	LICENSE	8e89c3a1118ad53e7fad5b1a27c577c1602b7c57e8d3f88555e85d9561499d06	MIT	admitted: pinned publisher repository licence
Redocly/museum-openapi-example	2770b2b2e59832d245c7b0eb0badf6568d7efb53	LICENSE	4d0ce4bb2c2322e27e8089cda89a4025ea9e0354e20866329522efe4525cc72e	MIT	admitted: pinned publisher repository licence
advplyr/audiobookshelf	0a797ab8bee15dc3ca92d1d76155259c46dbec62	LICENSE	67bc57299ed0387354c5d421e1dd052c568457f6e834ba3be6b979827a0161b7	GPL-3.0	blocked: outside corpus redistribution allowlist
apache/superset	485008224719a7b42162429fccb4a910347c532b	LICENSE.txt	ff254eb676d6ed2b36f26a74e7c50411cd57e11823f3e91004ffe48fcfd273cf	Apache-2.0	admitted: pinned publisher repository licence
asana/openapi	700bc9a7970c747209137f83aae07923e7477574	none	none	none	blocked: no root publisher licence; inspect document info.license separately
box/box-openapi	933ec4c5d9f4dbdaaa823efa3a083cf177aecbde	LICENSE	c666b2511719a979ae3311021b97e0e8e0a16000946024e7262670dee0615144	Apache-2.0	admitted: pinned publisher repository licence
cloudflare/api-schemas	f2df0ca75c0fec9047e91a34c20dd666c2dcd1ba	LICENSE	592676dfcb02d7f04827827bfcad212d797bbff401b3c9b5cdf726c6026765c9	BSD-3-Clause	admitted: pinned publisher repository licence
cohere-ai/cohere-developer-experience	c26cd7f411d63adb703b92ab2653e77b537c0e40	none	none	none	blocked: no root publisher licence; inspect document info.license separately
digitalocean/openapi	e3df8b7958867470943845c80b5d4c6fc2edff3b	LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	admitted: pinned publisher repository licence
discord/discord-api-spec	e54b849b5c10f74ad1db4fd4ec219e3ef382cbe8	LICENSE	02c955561564f3b5343c656b7eacd6c770e2624a039b81b6bc7828fbe8c9ab52	MIT	admitted: pinned publisher repository licence
docker/docker-py	afc6d1ee308e78b908b96a94298c37fa8c465588	LICENSE	f2f0b07fa5e492c11d27aa0d2f3f1a0e64b9d17f32d8aa489ae2af9609af33b2	Apache-2.0	admitted: pinned publisher repository licence
drakkan/sftpgo	c737df6cd42ef375bf51a2d0a04ea2b1ab9f8842	LICENSE	20b067f86de375aae6db0f283ab2e65de24d537733b89bd58432c101259d84cf	AGPL-3.0	blocked: outside corpus redistribution allowlist
dropbox/dropbox-api-spec	6d985dfaf901f1a909aa5e268bcfa524b0b7966e	LICENSE	4bf7cf281a1216fa71fbc3a70c209b5433a78e1b736bc27706f624e79d24f4ca	MIT	admitted: pinned publisher repository licence
github/rest-api-description	3cef12e8a02d612ad032473d4fb87266f2befeae	LICENSE.md	3243761cbac07e6d169a5a2f4e7c25cc544da85248e735df74c3672e055cc87b	MIT	admitted: pinned publisher repository licence
gotson/komga	656001eb03bf8b54ca909f3e74fe2ec1b95dac48	LICENSE	0c34b357f56a8d8947e5bf153d8a02ca378611f089d8a3c371667f28c223653f	MIT	admitted: pinned publisher repository licence
intercom/Intercom-OpenAPI	3d5adcb2eeb0df209d83035c2f5bc69c932b2644	LICENSE.md	9e127e338f7ea9cdd23a3b343849d801e2b983df5a3791625f3e231702027677	MIT	admitted: pinned publisher repository licence
kubernetes/kubernetes	b2ec8b6fefac451a2dedafc4dd71f2f16c7a6abe	LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	admitted: pinned publisher repository licence
mongodb/openapi	20d74e290115694fd3efd36e2f1cd46869bc8483	LICENSE	c71d239df91726fc519c6eb72d318ec65820627232b2f796219e87dcf35d0ab4	Apache-2.0	admitted: pinned publisher repository licence
openai/openai-openapi	b53b169f44dc0fbf878db3f9a1d3b66f43831f8d	LICENSE	bcba3de214851cce46ed5af42d6698044616eeace887c3231bc7a20474ab639e	MIT	admitted: pinned publisher repository licence
stripe/openapi	58e06a3214ae1574600fba64d40b770e5da6d505	LICENSE	8c1ce883f4eee7b531e0b7872dbfc72d410ced87dfff9501305de05ca8d203e5	MIT	admitted: pinned publisher repository licence
traccar/traccar	b15554cf3f9808dc462d412834896fe0634a4e0e	LICENSE.txt	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	admitted: pinned publisher repository licence
twilio/twilio-oai	ef1d81e7b6e49e602530601e913eedc21aedd6da	LICENSE	282418d5a4ca0a6cd3476637c41bb229e592fc289156d22fbfa188cec1169ff3	MIT	admitted: pinned publisher repository licence
webflow/openapi-spec	f6db607359a412dd6aa6cd304674731d7f2dbe10	LICENSE	f6d89ff7ecd17bad0ac3baf8f5b0957465733a0d2e7f2e2439aa153df42628ce	MIT	admitted: pinned publisher repository licence
codatio/oas	2dbdc1f7bcdefaf769ab17fcc99fbb098ef2610b	none	none	none	blocked: no root publisher licence; inspect document info.license separately
zulip/zulip	6a82f40579f8adb9149aa0b04ff795c397baae73	LICENSE	cfc7749b96f63bd31c3c42b5c471bf756814053e847c10f3eb003417bc523d30	Apache-2.0	admitted: pinned publisher repository licence
